food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,image
pork leg cap steak cooked,307.0,8.6,2.6,3.7,1.1,0.0,0.0,53.5,0.0,157.1,0.1,133.3,0.0,0.9,0.071,0.068,0.8,15.9,1.5,0.8,0.0,0.0,0.2,0.0,13.6,0.1,1.9,44.6,0.061,428.7,710.0,0.035,8.0,77.6,0
pork tenderloin raw,606.0,17.8,6.0,6.8,2.8,0.0,0.0,104.3,0.0,328.3,0.3,378.6,0.0,5.0,0.0,0.023,1.7,33.4,4.2,3.9,0.0,0.075,1.1,0.0,30.3,0.4,4.9,136.4,0.098,1227.2,1984.7,0.2,9.4,157.3,0
pork leg cap steak raw,284.0,7.8,2.7,3.9,1.2,0.0,0.0,50.0,0.0,145.5,0.2,173.7,0.0,1.2,0.004,0.072,1.0,16.4,1.9,1.3,0.0,0.0,0.2,0.0,16.2,0.1,1.9,50.8,0.069,478.2,843.2,0.009,7.3,75.9,0
pork splean cooked,446.0,9.6,3.2,2.6,0.7,0.0,0.0,84.3,0.0,1507.0,0.3,199.4,0.0,0.4,0.002,0.071,0.8,17.8,2.7,0.2,34.7,0.0,0.0,0.0,38.9,0.4,66.5,44.9,0.1,846.2,678.7,0.1,10.6,234.0,0
chopped ham,50.0,2.9,1.0,1.4,0.4,1.2,0.0,4.6,0.0,16.5,0.3,18.3,0.0,0.2,0.008,0.006,0.035,1.1,0.0,0.01,0.0,0.025,0.087,0.0,2.0,0.049,0.2,4.5,0.0,43.4,89.3,0.098,0.5,10.9,0
canadian style bacon grilled,43.0,2.0,0.7,0.9,0.2,0.3,0.0,5.7,0.0,13.6,0.4,14.5,0.0,0.2,0.07,0.03,0.054,1.6,0.1,0.1,0.0,0.048,0.061,0.0,2.4,0.043,0.2,4.9,0.023,69.6,91.7,0.058,0.4,10.6,0
ham steak,70.0,2.4,0.8,1.1,0.3,0.0,0.0,11.1,0.0,25.7,0.7,41.2,0.0,0.5,0.064,0.08,0.1,2.9,0.4,0.2,18.4,0.0,0.0,0.0,2.3,0.05,0.6,10.8,0.011,148.2,185.3,0.068,1.2,34.8,0
bacon baked,44.0,3.5,1.1,1.5,0.4,0.1,0.0,2.9,0.0,8.7,0.2,1.0,0.0,0.052,0.09,0.095,0.053,0.058,0.9,0.077,0.084,0.0,0.0,0.038,0.047,0.8,0.054,0.1,2.4,0.078,41.0,43.7,0.003,6.673,0
salt pork raw,212.0,22.8,8.3,10.7,2.7,0.0,0.0,1.4,0.0,24.3,0.8,3.1,0.0,0.054,0.011,0.049,0.01,0.5,0.078,0.048,0.0,0.035,0.0,0.0,1.7,0.053,0.1,2.0,0.073,14.7,18.7,0.056,0.3,26.0,0
pork chitterlings cooked,66.0,5.8,2.7,2.0,0.3,0.0,0.0,3.5,0.0,78.4,0.078,19.2,0.0,0.0,0.099,0.024,0.056,0.093,0.065,0.059,0.0,0.0,0.0,0.083,0.0,7.1,0.056,0.4,2.5,0.033,18.7,4.0,0.07,9.329,0
pork breakfast strips cooked,52.0,4.1,1.4,1.9,0.6,0.1,0.0,3.3,0.0,11.9,0.2,3.0,0.0,0.039,0.02,0.02,0.073,0.9,0.1,0.068,0.0,0.066,0.057,0.0,1.6,0.054,0.2,2.9,0.085,29.9,52.7,0.061,0.4,9.3,0
pork blade roll roasted,1079.0,88.3,31.5,41.5,9.4,1.4,0.0,65.0,0.0,251.9,3.7,211.2,0.0,1.7,0.032,0.007,1.1,8.9,2.9,0.8,12.0,0.0,0.0,0.0,26.3,0.3,3.3,48.9,0.098,586.6,729.4,0.1,9.2,196.3,0
pork tail cooked,1089.0,98.5,34.2,46.4,10.8,0.0,0.0,46.8,0.0,354.8,0.093,128.4,0.0,0.2,0.002,0.061,0.2,3.1,1.2,0.7,0.0,0.0,0.0,0.0,38.5,0.2,2.2,19.3,0.087,129.3,431.8,0.087,4.5,186.0,0
pork centre rib roasts raw,275.0,9.7,3.3,4.0,1.1,0.0,0.0,44.0,0.0,113.1,0.1,146.2,0.0,1.0,0.0,0.094,0.4,13.5,1.5,1.5,0.0,0.072,0.3,0.0,48.5,0.1,1.2,50.5,0.053,436.3,725.2,0.05,4.0,103.4,0
minced ham,55.0,4.3,1.5,2.0,0.5,0.4,0.0,3.4,0.0,14.7,0.3,12.0,0.0,0.1,0.094,0.059,0.073,0.9,0.094,0.081,0.0,0.058,0.012,0.0,2.1,0.029,0.2,3.4,0.074,33.0,65.3,0.048,0.4,10.4,0
ham roasted,316.0,21.3,7.1,9.9,2.5,0.6,0.0,28.7,0.0,86.8,1.3,85.3,0.0,1.1,0.033,0.054,0.4,7.4,1.0,0.4,19.6,0.0,0.0,0.0,11.2,0.2,1.9,23.8,0.084,340.2,499.8,0.053,3.5,83.3,0
ham raw,266.0,18.2,6.0,8.7,2.1,0.046,0.0,23.8,0.0,54.6,1.5,93.2,0.0,1.3,0.021,0.034,0.3,4.5,0.6,0.7,0.0,0.054,0.3,0.0,8.4,0.075,1.2,19.6,0.063,245.0,442.4,0.065,2.3,51.697,0
ham extra lean,45.0,2.3,0.8,1.1,0.3,0.6,0.0,5.1,0.0,14.8,0.4,18.7,0.0,0.2,0.022,0.097,0.028,1.4,0.1,0.1,0.0,0.094,0.04,0.0,2.0,0.075,0.3,5.0,0.049,66.1,83.2,0.041,0.6,10.3,0
pork blade steak raw,664.0,43.7,15.4,18.4,5.6,0.6,0.0,67.6,0.0,243.7,0.6,276.5,0.0,1.9,0.0,0.01,1.3,14.8,5.6,1.9,0.0,0.083,0.8,0.0,59.0,0.5,3.8,70.7,0.0,829.2,1536.6,0.1,11.1,174.7,0
pork ears cooked,184.0,12.0,4.3,5.5,1.3,0.2,0.0,17.7,0.0,99.9,0.2,80.6,0.0,0.004,0.0,0.0,0.07,0.6,0.051,0.066,0.0,0.0,0.0,0.0,20.0,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2,51.6,0
pork tongue cooked,626.0,43.0,14.9,20.2,4.5,0.0,0.0,55.7,0.0,337.3,0.3,131.4,0.0,0.7,0.019,0.077,1.2,12.3,1.2,0.5,3.9,0.0,0.0,0.0,43.9,0.3,11.5,46.2,0.054,401.9,547.5,0.04,10.5,158.0,0
pork spareribs raw,3593.0,303.5,97.7,110.8,51.3,0.0,0.0,200.6,0.0,1037.6,1.1,775.0,0.0,4.1,0.0,0.055,3.3,60.5,8.1,7.4,0.0,0.084,4.8,0.0,194.6,1.0,11.8,207.5,0.1,1828.8,3138.7,0.3,32.4,710.5,0
ham patties grilled,205.0,18.5,6.7,8.8,2.0,1.0,0.0,8.0,0.0,43.2,0.6,30.8,0.0,0.2,0.034,0.046,0.1,1.9,0.2,0.085,0.0,0.056,0.3,0.0,5.4,0.043,1.0,6.0,0.045,60.6,146.4,0.028,1.1,33.9,0
turkey roast roasted,209.0,7.8,2.6,1.6,2.2,4.1,0.0,28.8,0.0,71.6,0.9,91.6,0.0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0.0,0.084,0.5,0.09,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4,49.7,0
