retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
0109,01,"EGGS,REHEATED",306,"Potassium, K",1.0
0109,01,"EGGS,REHEATED",307,"Sodium, Na",1.0
0109,01,"EGGS,REHEATED",309,"Zinc, Zn",1.0
0109,01,"EGGS,REHEATED",312,"Copper, Cu",1.0
0109,01,"EGGS,REHEATED",401,"Vitamin C, total ascorbic acid",0.95
0109,01,"EGGS,REHEATED",404,Thiamin,0.95
0109,01,"EGGS,REHEATED",405,Riboflavin,1.0
0109,01,"EGGS,REHEATED",406,Niacin,1.0
0109,01,"EGGS,REHEATED",415,Vitamin B-6,0.95
0109,01,"EGGS,REHEATED",417,"Folate, total",0.95
0109,01,"EGGS,REHEATED",431,Folic acid,0.95
0109,01,"EGGS,REHEATED",432,"Folate, food",0.95
0109,01,"EGGS,REHEATED",421,"Choline, total",0.85
0109,01,"EGGS,REHEATED",418,Vitamin B-12,0.95
0109,01,"EGGS,REHEATED",318,"Vitamin A, IU",1.0
0109,01,"EGGS,REHEATED",392,"Vitamin A, RE",1.0
0109,01,"EGGS,REHEATED",221,"Alcohol, ethyl",1.0
0109,01,"EGGS,REHEATED",321,"Carotene, beta",1.0
0109,01,"EGGS,REHEATED",322,"Carotene, alpha",1.0
0109,01,"EGGS,REHEATED",334,"Cryptoxanthin, beta",1.0
0109,01,"EGGS,REHEATED",337,Lycopene,1.0
0109,01,"EGGS,REHEATED",338,Lutein + zeaxanthin,1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",301,"Calcium, Ca",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",303,"Iron, Fe",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",304,"Magnesium, Mg",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",305,"Phosphorus, P",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",306,"Potassium, K",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",307,"Sodium, Na",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",309,"Zinc, Zn",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",312,"Copper, Cu",1.0
